	Sentence
2408	One sovereign ruler over all
2409	We love You, Father
2410	We praise You, Jesus
2411	We're here together
2412	For Your glory
2413	His Forever - Live
2414	Jesus, friend of sinners
2415	Loved me 'ere I knew Him
2416	Drew me with His cords of love
2417	Tightly bound me to Him
2418	'Round my heart still closely twined
2419	The ties that none can sever
2420	For I am His and He is mine
2421	Forever and forever
2422	Jesus, friend of sinners
2423	A crown of thorns You wore for me
2424	Bruised for my transgressions
2425	Pierced for my iniquities
2426	The wrath of God that I deserved
2427	Was poured out on the Innocent
2428	He took my place, my soul to save
2429	Now I am His forever
2430	Jesus, friend of sinners
2431	I love to tell the story
2432	Redeeming love has been my theme
2433	And will be when in glory
2434	Not death nor life nor anything
2435	Can ever separate me
2436	O love that will not let me go
2437	Yes, I am His forever
2438	Be Thou My Vision (Live)
2439	Be Thou my Vision, O Lord of my heart;
2440	Naught be all else to me, save that Thou art;
2441	Thou my best Thought, by day or by night,
2442	Waking or sleeping, Thy presence my light.
2443	Be Thou my Wisdom, and Thou my true Word;
2444	I ever with Thee and Thou with me, Lord;
2445	Thou my great Father, I Thy true son;
2446	Thou in me dwelling, and I with Thee one.
2447	Be Thou my battle Shield, Sword for the fight;
2448	Be Thou my Dignity, Thou my Delight;
2449	Thou my soul's Shelter, Thou my high Tow'r:
2450	Raise Thou me heav'nward, O Pow'r of my pow'r.
2451	Riches I heed not, nor man's empty praise,
2452	Thou mine Inheritance, now and always:
2453	Thou and Thou only, first in my heart,
2454	High King of Heaven, my Treasure Thou art.
2455	High King of Heaven, my victory won,
2456	May I reach Heaven's joys, O bright Heav'n's Sun!
2457	Heart of my own heart, whate'er befall,
2458	Still be my Vision, O Ruler of all.
2459	Our Great God (Live)
2460	Eternal God, unchanging,
2461	Mysterious and unknown;
2462	Your boundless love, unfailing,
2463	In grace and mercy shown.
2464	Bright seraphim in ceaseless flight
2465	Around Your glorious throne;
2466	They raise their voices day
2467	And night in praise to You alone!
2468	Hallelujah! Glory be to our great God!
2469	Hallelujah! Glory be to our great God!
2470	Lord, we are weak and frail
2471	And are helpless in the storm;
2472	Surround us with Your angels
2473	And hold us in Your arms.
2474	Our cold and ruthless enemy,
2475	His pleasure is our harm.
2476	Rise up, O Lord, and he will flee
2477	Before our sovereign God.
2478	Let every creature in the sea
2479	And every flying bird,
2480	Let every mountain, every field,
2481	And valley of the earth,
2482	Let all the moons and all the stars
2483	In all the universe
2484	Sing praises to the living God
2485	Who rules them by His Word.
2486	Have Mercy on Me (Live)
2487	I am a sinner; You're blameless, Lord
2488	My sins against You can't be ignored
2489	They will be punished, I know they must
2490	Your law demands it, for You are just
2491	Pre-If You would count
2492	Everything that I've done wrong
2493	Who could stand?
2494	But there's forgiveness with You, God
2495	Have mercy on me, have mercy on me
2496	A broken and a contrite heart
2497	You won't turn away
2498	Have mercy on me, have mercy on me
2499	Because of Your steadfast love
2500	Father of mercy, You gave Your Son
2501	To make atonement for wrongs I have done
2502	What You required, Jesus fulfilled
2503	I don't deserve it—I never will
2504	The Glory of the Lamb
2505	A day is coming, coming soon
2506	When we shall see Your face
2507	And how our hearts are yearning for
2508	That outpouring of grace
2509	When You take all the galaxies
2510	And roll them up like a scroll
2511	When You make Heaven and Earth anew
2512	And eternity unfolds
2513	Then the glory of the Lamb will be
2514	All that we have longed to see
2515	And we'll praise Your splendor
2516	Majesty and might
2517	There will be no darkness, be no night
2518	We won't need the sun or moon to shine
2519	For the glory of the Lamb will be our light
2520	Although we see but dimly now
2521	Our hearts are filled with love
2522	For we have tasted and have seen
2523	How good You are, O God
2524	We know that our Redeemer lives
2525	And someday You'll return
2526	And we shall see You with our eyes
2527	Oh how our hearts will burn
2528	Then the glory of the Lamb will be
2529	All that we have longed to see
2530	And we'll praise Your splendor
2531	Majesty and might
2532	There will be no darkness, be no night
2533	We won't need the sun or moon to shine
2534	For the glory of the Lamb will be our light
2535	All Glory Be to Christ (Live)
2536	Should nothing of our efforts stand
2537	No legacy survive
2538	Unless the Lord does raise the house
2539	In vain its builders striveTo you who boast tomorrow's gain
2540	Tell me what is your life
2541	A mist that vanishes at dawn
2542	All glory be to Christ!
2543	All glory be to Christ our king!
2544	All glory be to Christ!
2545	His rule and reign will ever sing,
2546	All glory be to Christ!
2547	His will be done
2548	His kingdom come
2549	On earth as is above
2550	Who is Himself our daily bread
2551	Praise Him the Lord of love
2552	Let living water satisfy
2553	The thirsty without price
2554	We'll take a cup of kindness yet
2555	All glory be to Christ!
2556	All glory be to Christ our king!
2557	All glory be to Christ!
2558	His rule and reign will ever sing,
2559	All glory be to Christ!
2560	When on the day the great I Am
2561	The faithful and the true
2562	The Lamb who was for sinners slain
2563	Is making all things new.
2564	Behold our God shall live with us
2565	And be our steadfast light
2566	And we shall ere his people be
2567	All glory be to Christ!
2568	My Hope Is Built On Nothing Less (Live)
2569	My hope is built on nothing less
2570	Than Jesus' blood and righteousness
2571	I dare not trust the sweetest frame
2572	But wholly lean on Jesus' name
2573	On Christ the solid Rock I stand
2574	All other ground is sinking sand
2575	All other ground is sinking sand
2576	When darkness hides His lovely face
2577	I rest on His unchanging grace
2578	In every high and stormy gale
2579	My anchor holds within the veil
2580	On Christ the solid Rock I stand
2581	All other ground is sinking sand
2582	All other ground is sinking sand
2583	His oath, His covenant, His blood
2584	Support me in the whelming flood
2585	When all around my soul gives way
2586	He then is all my hope and stay
2587	On Christ the solid Rock I stand
2588	All other ground is sinking sand
2589	All other ground is sinking sand
2590	On Christ the solid Rock I stand
2591	All other ground is sinking sand
2592	All other ground is sinking sand
2593	When He shall come with trumpet sound
2594	Oh may I then in Him be found
2595	Dressed in His righteousness alone
2596	Faultless to stand before the throne
2597	On Christ the solid Rock I stand
2598	All other ground is sinking sand
2599	All other ground is sinking sand
2600	On Christ the solid Rock I stand
2601	All other ground is sinking sand
2602	All other ground is sinking sand
2603	My Hope Is Built On Nothing Less (Live)
2604	My hope is built on nothing less
2605	Than Jesus' blood and righteousness
2606	I dare not trust the sweetest frame
2607	But wholly lean on Jesus' name
2608	On Christ the solid Rock I stand
2609	All other ground is sinking sand
2610	All other ground is sinking sand
2611	When darkness hides His lovely face
2612	I rest on His unchanging grace
2613	In every high and stormy gale
2614	My anchor holds within the veil
2615	On Christ the solid Rock I stand
2616	All other ground is sinking sand
2617	All other ground is sinking sand
2618	His oath, His covenant, His blood
2619	Support me in the whelming flood
2620	When all around my soul gives way
2621	He then is all my hope and stay
2622	On Christ the solid Rock I stand
2623	All other ground is sinking sand
2624	All other ground is sinking sand
2625	On Christ the solid Rock I stand
2626	All other ground is sinking sand
2627	All other ground is sinking sand
2628	When He shall come with trumpet sound
2629	Oh may I then in Him be found
2630	Dressed in His righteousness alone
2631	Faultless to stand before the throne
2632	On Christ the solid Rock I stand
2633	All other ground is sinking sand
2634	All other ground is sinking sand
2635	On Christ the solid Rock I stand
2636	All other ground is sinking sand
2637	All other ground is sinking sand
2638	The Unbelievable
2639	Come and see
2640	the inconceivable
2641	and believe the unbelievable
2642	God has come to dwell with us
2643	Begotten Son
2644	born into adam's earth
2645	promised one
2646	fulfilling ancient words
2647	God has come to dwell with us
2648	Who could ever know the depths of the mystery of your grace
2649	though I can't take it in,
2650	Lord our hearts are filled with praise
2651	He will heal
2652	the unhealable
2653	He will save
2654	the unsavable
2655	God has come to dwell with us
2656	Heaven's joy
2657	will drink our bitter cup
2658	emptied out
2659	as he is lifted up
2660	God has come to dwell with us
2661	who could ever know the depths of the mystery of your grace
2662	though our minds can't take it in,
2663	Lord our hearts are filled with praise.
2664	Lord we're lost
2665	and overwhelmed at the thought of such amazing love
2666	God has come
2667	God has come
2668	God has come to dwell with us
2669	There Blooms a Rose in Bethlehem
2670	there blooms a rose in Bethlehem
2671	from tender stem hath sprung
2672	of Jesse's line this folwer grows
2673	As men of old have sung
2674	Isaiah told us long ago
2675	About this rose we'd find
2676	in virgin arms we shall behold
2677	the savior of mankind
2678	the glories of the heavens
2679	surrounded shepherds bright
2680	the angels sang, a sign was shown
2681	the Christ was born at night
2682	what mystery they came upon
2683	the sign the heralds laud
2684	in manger slept the Holy One
2685	in flesh the Son of God
2686	this flow'r in bloom, a scent so sweet
2687	that greet us in the air
2688	it has dispelled with hopefulness
2689	the sting of death's despair
2690	foretold, this rose was born to die
2691	but would not see decay
2692	so those who place their faith in Him
2693	shall blossom from the grace
2694	A God Who Saves
2695	Even when we were weak, despairing and broken
2696	You did not give us to our hearts' desires
2697	You came as You promised, a rescue for sinners
2698	You conquered death by giving up Your life
2699	PRE-At the right time
2700	You died for the ungodly
2701	At the right time
2702	You showed Your love for us
2703	Our God is a God Who saves
2704	Our God is a God Who saves
2705	Our hearts are filled with wonder
2706	Our mouths are filled with praise
2707	Our God is a God Who saves
2708	If we've been reconciled while we were still rebels
2709	How much more has God made us His own?
2710	In mercy He gave us a hope and a future
2711	Beyond this mortal life of flesh and bone
2712	Our Only Hope Is You
2713	Our mouths were open graves
2714	Full of broken vows we made
2715	Our hearts ran wild
2716	Our tongues could not be tamed
2717	What darkness had concealed
