	Sentence
1030	Let all creation magnify Your glorious name
1031	Forever is not long enough
1032	To sing of all You have done
1033	Be praised by every tribe and every tongue
1034	Let every tongue and every tribe
1035	Sing praises, praises
1036	Let all creation magnify Your glorious name
1037	Forever is not long enough
1038	To sing of all You have done
1039	Be praised by every tribe and every tongue
1040	Be praised by every tribe and every tongue
1041	Soli Deo Gloria
1042	We resolve to know
1043	Nothing else but Jesus Christ
1044	Jesus Christ, and Him crucified
1045	We resolve to know
1046	Nothing else but Jesus Christ
1047	The Lamb of God, and our sacrifice
1048	To come to God by grace alone
1049	Through faith alone in His blood, spilled for us
1050	Singing soli Deo gloria
1051	To God alone be glory
1052	To God alone be glory
1053	Singing soli Deo gloria
1054	To God alone be glory
1055	To God alone be glory
1056	In Jesus Christ
1057	We resolve to live
1058	For nothing else but Jesus Christ
1059	To know the One who is our life
1060	We resolve to live
1061	By nothing but Your Word alone
1062	Your strength alone, for Your will alone
1063	To make our goal to please You alone
1064	Worship You alone, our God
1065	And our King
1066	Singing soli Deo gloria
1067	To God alone be glory
1068	To God alone be glory
1069	Singing soli Deo gloria
1070	To God alone be glory
1071	To God alone be glory
1072	In Jesus Christ
1073	Jesus, My Only Hope
1074	Our mouths were open graves
1075	Full of broken vows we made
1076	Our hearts ran wild
1077	Our tongues could not be tamed
1078	What darkness had concealed
1079	Your law has now revealed
1080	Our guilt was great
1081	Our bitter fate was sealed
1082	Our only hope
1083	Our only hope is You, Lord
1084	Our only hope
1085	Our only hope is You
1086	Though hypocrites and fools
1087	You draw us to the truth
1088	For Your own glory
1089	You make all things new
1090	Our only hope
